"locationname","location","party","partyname","measure","Measure","frequency","Frequency","entityname","entity","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","amount","Flag Codes","Flags"
"ISL","Iceland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,1.375015,,
"ISL","Iceland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.053812,,
"IRL","Ireland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.567079,,
"IRL","Ireland","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.966732,,
"IRL","Ireland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,6.178557,,
"IRL","Ireland","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.910133,,
"IRL","Ireland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.893495,,
"IRL","Ireland","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,5.468756,,
"ITA","Italy","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,12.52429,,
"ITA","Italy","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,11.74173,,
"ITA","Italy","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,9.81732,,
"ITA","Italy","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,9.678066,,
"ITA","Italy","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,10.9945,,
"ITA","Italy","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,10.57306,,
"JPN","Japan","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.651889,,
"JPN","Japan","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.709822,,
"JPN","Japan","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.931709,,
"JPN","Japan","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.752024,,
"JPN","Japan","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,2.800749,,
"JPN","Japan","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,2.702262,,
"KOR","Korea","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.18249,,
"KOR","Korea","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.285026,,
"KOR","Korea","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.634035,,
"KOR","Korea","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.661118,,
"KOR","Korea","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,3.448487,,
"KOR","Korea","LRUN25TT"," Aged 25-54, All persons","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,3.506324,,
"LUX","Luxembourg","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.175436,,
"LUX","Luxembourg","LRUN25FE"," Aged 25-54, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.825511,,
"LUX","Luxembourg","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q3","Q32017","PC","Percentage","0","Units",,,5.081452,,
"LUX","Luxembourg","LRUN25MA"," Aged 25-54, Males","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","2017-Q4","Q42017","PC","Percentage","0","Units",,,4.327008,,
